idx,rougeL_f1,src,ref,pred
190,0.0,"#Person1#: 여기서 공부하고 있어? 
#Person2#: 응, 나 동아시아어학과에서 공부해.
#Person1#: 전공이 뭐야?
#Person2#: 일본어 전공이야.
#Person1#: 문학 수업은 어때?
#Person2#: 정말 많이 도움이 돼. 그 수업 덕분에 문학의 세계에 푹 빠졌어. 엄청난 문학 작품들도 많이 읽었어.",#Person2#는 일본어를 전공하며 문학 수업이 매우 유익하다고 느낀다.,"#Person1#: 여기서 공부하고 있어? #Person2#: 응, 나 동아시아어학과에서 공부해. #Person1#: 전공이 뭐야?"
187,0.0,"#Person1#: 음... 내 식기들은 어디 있지?
#Person2#: 손으로 먹는 거야. 빵으로 음식을 떠먹으면 돼.
#Person3#: 이 요리는 Zilbo라고 불리고, 양고기와 감자로 만들어.
#Person1#: 음! 이거 정말 맛있다! 꿀 와인 좀 건네줄래? 그래서, Clyde, 무슨 공부해?
#Person2#: 국제법과 비즈니스를 공부하고 있어. 우리 가족이 회사를 운영해.
#Person3#: Clyde는 최초의 흑인 대통령이 되고 싶대.
#Person2#: 최초의 흑인 대통령이 될 거야. 나는 Ronald Reagan을 롤모델로 삼고 있어.","#Person1#와 Clyde, #Person3#가 함께 식사하면서 Clyde가 최초의 흑인 대통령이 되고 싶다는 소망을 이야기한다.",#Person1#: 음... 내 식기들은 어디 있지? #Person2#: 손으로 먹는 거야.
245,0.0,"#Person1#: 안녕하세요. 몬터레이 베이 인입니다. 
#Person2#: 안녕하세요. 예약을 취소하려고 전화 드렸습니다. 
#Person1#: 알겠습니다. 예약 날짜가 언제인가요? 
#Person2#: 1월 29일부터 2월 1일까지입니다. 
#Person1#: 알겠습니다. 다른 날짜로 방을 예약하시겠습니까? 3월에 이틀 예약하시면 셋째 날은 무료로 제공되는 특별 할인도 있습니다. 
#Person2#: 아니요, 최근에 새 직장을 시작해서 최소 6개월 동안 휴가가 없습니다. 
#Person1#: 그렇군요. 다음에 휴가가 생기시면 저희 호텔을 고려해 주세요. $280 환불해 드리겠습니다. 비자 카드로 환불해 드릴까요? 
#Person2#: 네, 감사합니다.",#Person2#는 새 직장을 구했기 때문에 호텔 예약을 취소하고 싶다고 #Person1#에게 말합니다. #Person1#은 $280을 비자 카드로 환불해 주기로 합니다.,#Person1#: 안녕하세요. 몬터레이 베이 인입니다. #Person2#: 안녕하세요.
186,0.0,"#Person1#: 택시 같이 탈래?
#Person2#: 지금 어디 가는 중이야?
#Person1#: 내 대학, 황허 로에 있는 데로 돌아가고 싶어. 네 집이랑 아주 가까워.
#Person2#: 그거 교사대학 옆에 있는 대학교 맞지?
#Person1#: 맞아, 그거야.
#Person2#: 그럼 우리 택시 같이 타자는 거야?
#Person1#: 응. 같이 타면 더 싸게 탈 수 있을 거야. 게다가 네 중국어가 나보다 훨씬 나아서, 운전사들이 보통 내 발음을 잘 못 알아듣더라고.
#Person2#: 음, 걱정하지 마. 난 기꺼이 택시 같이 탈게.",#Person1#은 더 경제적이기도 하고 #Person2#의 중국어 실력이 더 뛰어나기 때문에 #Person2#와 함께 택시를 타고자 합니다. #Person2#은 이에 동의했습니다.,"#Person1#: 택시 같이 탈래? #Person2#: 지금 어디 가는 중이야? #Person1#: 내 대학, 황허 로에 있는 데로 돌아가고 싶어."
183,0.0,"#Person1#: 너 컴퓨터 키보드 다 달아버릴 거야!
#Person2#: 아, 안녕.
#Person1#: 지금 몇 시인지 알아?
#Person2#: 한 열 시나 열 시 반쯤?
#Person1#: 거의 자정이야.
#Person2#: 정말? 이렇게 늦은 줄 몰랐어.
#Person1#: 내일 아침에 일찍 강의해야 하는 거 아니야?
#Person2#: 응, 7시에 있어. 출근 전 학생들이 듣는 통근 강좌야.
#Person1#: 그럼 자야겠네. 근데 지금 뭐 쓰고 있는 거야?
#Person2#: 팔 수 있으면 하는 기사 하나 쓰고 있어.
#Person1#: 아, 또 신문기사? 이번 거는 무슨 내용이야?
#Person2#: 지난 달에 내가 다녀온 여행 기억나?
#Person1#: 아마존으로 갔던 그거?
#Person2#: 맞아, 그게 바로 이번 주제야. 새로운 고속도로와 아마존 계곡에 미치는 변화들에 대해 쓰고 있어.
#Person1#: 재밌겠네.
#Person2#: 응, 그래서 시간 가는 줄 몰랐나 봐.
#Person1#: 지금까지 몇 개나 팔았어?
#Person2#: 한 열두 개쯤.
#Person1#: 어떤 신문사들이 사가?
#Person2#: 외신 많이 실리는 곳들이야. 주로 일요일에 큰 판으로 나올 때 광고 사이 공간 채우기 위한 배경기사로 많이 실려.
#Person1#: 미래가 있는 건가?
#Person2#: 그랬으면 좋겠어. 이번 기사는 뉴스 서비스에 팔릴 가능성이 있어.
#Person1#: 그럼 여러 신문에 실리겠네?
#Person2#: 바로 그거야. 정기적으로 다른 기사도 쓸 수 있을지도 몰라.
#Person1#: 그럼 좋지.",#Person1#은 #Person2#에게 아마존 여행에 관한 기사를 쓰는 도중 밤 늦은 시간임을 상기시킨다. #Person2#는 그 기사를 뉴스 서비스에 팔아 정기적으로 기사들을 쓰게 되길 희망한다.,"#Person1#: 너 컴퓨터 키보드 다 달아버릴 거야! #Person2#: 아, 안녕. #Person1#: 지금 몇 시인지 알아?"
180,0.0,"#Person1#: 홀리데이 트래블입니다! 무엇을 도와드릴까요?
#Person2#: 안녕하세요! 이번 달 23일에 베를린으로 가는 비행기 표를 예약하고 싶어요.
#Person1#: 네, 가능한 항공편을 확인해볼게요. 그리고 돌아오는 날짜는 언제인가요?
#Person2#: 음, 29일에 돌아오는 비행기를 타고 싶어요. 그리고 가장 저렴한 좌석으로 부탁드릴게요.
#Person1#: 알겠습니다, 확인해볼게요. 하루 일찍 출발하시면 티켓 가격이 훨씬 저렴하네요.
#Person2#: 아, 그렇군요. 하루 일찍 떠나는 건 얼마나 하나요?
#Person1#: 980달러밖에 안 돼요.
#Person2#: 좋아요. 그러면 그 비행기로 할게요.
#Person1#: 네, BA 7101편으로 솔트레이크 시티에서 뉴욕 케네디 공항으로 가고, 그 후 BA 2701편으로 케네디 공항에서 베를린으로 가시는 항공편입니다. 첫 번째 비행기는 솔트레이크 시티에서 오전 10시에 출발해서 뉴욕에 오후 4시 15분에 도착합니다. 그리고 두 번째 비행기는 케네디 공항에서 오후 5시 45분에 출발합니다. 다음 날 오전 8시 30분에 베를린에 도착하실 거예요.
#Person2#: 알겠습니다. 감사합니다.",#Person1#은 #Person2#의 솔트레이크시티에서 베를린으로 하루 일찍 출발하는 비행편과 29일에 돌아오는 비행편 예약을 도와줍니다.,#Person1#: 홀리데이 트래블입니다! 무엇을 도와드릴까요? #Person2#: 안녕하세요!
178,0.0,"#Person1#: 안녕하세요! 자전거에 관해서 질문 있으신가요?
#Person2#: 네. 여기서 자전거 판매 외에도 수리도 하시나요?
#Person1#: 아, 네, 필요한 수리는 모두 가능합니다.
#Person2#: 좋네요, 그런데 제가 필요한 건 수리는 아니에요. 사촌이 저한테 로드 바이크를 줬는데, 제가 타기엔 너무 커서요. 작은 바퀴로 교체할 수 있을까요?
#Person1#: 그렇게 할 수 있지만, 추천드리진 않아요. 같은 거리를 가려면 다리를 더 많이 써야 하니까요. 본인한테 맞는 사이즈의 자전거를 사시는 게 나을 거예요.
#Person2#: 그럴 줄 알았어요. 사촌 자전거가 정말 비싼 모델이라서요. 정말 좋은 자전거예요.
#Person1#: 자전거를 교환 거래하는 걸 생각해 보셨어요? 저희는 중고 자전거를 사고팔고 있고, 공정한 가격으로 교환해 드릴 수 있어요.
#Person2#: 정말요? 그거 좋네요! 얼마 정도 받을 수 있을까요?
#Person1#: 상태가 좋다면, 원래 가격의 최소 50%는 받을 수 있을 거예요.
#Person2#: 좋네요! 내일 오시면 그때 가져올게요.
#Person1#: 알겠습니다.","#Person1#은 #Person2#에게 사촌이 준 자전거 바퀴 교체 대신, 자전거를 판매하고 자신에게 맞는 자전거를 구매할 것을 권장합니다.",#Person1#: 안녕하세요! 자전거에 관해서 질문 있으신가요? #Person2#: 네.
171,0.0,"#Person1#: 어서 오세요, 선생님. 자료가 도움이 되셨나요?
#Person2#: 네, 자료 덕분에 소액 소비자 대출을 받기로 결정했습니다. 물론 제 신용 등급이 괜찮다면요.
#Person1#: 신용은 괜찮습니다, 선생님. 대출이 필요한 이유를 말씀해 주시겠어요?
#Person2#: 중고 아파트를 샀는데, 좀 개조를 하려고 합니다. 뭐, 인테리어 좀 하고 가구 새로 사고, 그 정도로요.
#Person1#: 알겠습니다. 그리고 얼마 정도 대출을 원하시나요?
#Person2#: 여기 보니 최대 20,000 RMB라고 되어 있는데, 그게 유동적인가요?
#Person1#: 죄송합니다, 선생님. 이 유형의 대출로는 최대 20,000 RMB까지만 가능합니다.
#Person2#: 그럼 20,000 RMB로 받아야겠네요.
#Person1#: 서류가 필요합니다. 거주 허가증, 직업과 급여 정보가 필요하고 신용 정보는 이미 가지고 있습니다.
#Person2#: 여기 다 있습니다. 다 됐으면, 서명할 곳만 알려주세요.","#Person2#는 아파트 수리를 위해 소액 소비자 대출을 원합니다. #Person1#은 최대 대출 가능한 금액이 20,000 RMB라고 말하고 #Person2#는 이를 수용합니다.","#Person1#: 어서 오세요, 선생님. 자료가 도움이 되셨나요?"
170,0.0,"#Person1#: Liz, 잠깐 시간 있어?
#Person2#: 응, 물론이지. 무슨 일이야?
#Person1#: 목요일 아침에 발표 준비 좀 도와줄 수 있어?
#Person2#: 알았어, 뭐 하면 돼?
#Person1#: 여기 사무실이 아니고, Dayton Street 사무실에서 할 거야. 거기 가본 적 있어?
#Person2#: 응, 물론이지. 매주 화요일마다 가야 하거든.
#Person1#: 잘 됐다. 그럼 길 찾는 건 문제 없겠네.
#Person2#: 발표 주제는 뭐야?
#Person1#: 우리 웹사이트를 통해 판매를 늘리는 방법에 대해 이야기할 거야. 모든 지점장들이 올 거고, 대다수 직원들도 올 거야.
#Person2#: 발표에 특별히 필요한 거 있어?
#Person1#: 모니터가 필요하긴 한데, Tom이 수요일에 그거 세팅해줄 거야. 나머지는 네가 도와줘야 해.
#Person2#: 화이트보드를 준비해야 하겠네.",#Person1#이 Liz에게 목요일 아침 Dayton Street 사무실에서 있을 발표 준비를 도와달라고 요청한다. Liz는 동의하고 필요한 것이 무엇인지 묻는다.,"#Person1#: Liz, 잠깐 시간 있어? #Person2#: 응, 물론이지. 무슨 일이야?"
169,0.0,"#Person1#: 뭐 해, 잘 지냈어?
#Person2#: 완전 좋아. 너는 어때?
#Person1#: 그럭저럭.
#Person2#: 그럼, 버스 오래 탔어?
#Person1#: 15분 전에 탔어.
#Person2#: 버스 자주 타?
#Person1#: 보통은 그냥 운전해.
#Person2#: 차 있어?
#Person1#: 응, 나 차 있어.
#Person2#: 근데 왜 안 타고 왔어?
#Person1#: 우리 대통령이 기름값 내려줄 때까지 기다리려구.
#Person2#: 똑똑하다.",#Person1#은 최근 높은 기름값 때문에 버스를 이용하고 있습니다.,"#Person1#: 뭐 해, 잘 지냈어? #Person2#: 완전 좋아. 너는 어때?"
